elbo,-kl,log_px,log_py
-241.339,-51.057,-80.2295,-156.004
-344.087,-45.3603,-117.439,-222.112
-225.819,-29.5235,-74.9322,-147.934
-234.639,-33.6811,-75.7074,-155.564
-215.47,-23.8608,-73.0838,-140.0
-353.271,-39.5757,-120.26,-229.054
-181.874,-51.1612,-61.2859,-115.472
-197.77,-31.7245,-66.2197,-128.378
-189.483,-53.7491,-60.8342,-123.274
-243.92,-34.5175,-82.5843,-157.884
-180.231,-56.0854,-56.4434,-118.179
-208.022,-42.6995,-66.8654,-136.887
-239.888,-45.9096,-77.0526,-158.244
-81.5798,-23.1092,-26.4912,-52.7777
-219.814,-45.6512,-71.4873,-143.762
-247.592,-54.1404,-82.8394,-159.338
-196.018,-47.9902,-65.8354,-125.384
-52.6627,-28.1638,-17.2487,-32.5976
-99.4221,-24.7028,-34.144,-62.8078
-270.112,-33.6681,-91.886,-174.859
-57.424,-41.2098,-21.041,-32.262
-241.942,-54.2023,-79.6642,-156.857
-173.867,-49.6905,-51.8215,-117.077
-188.362,-39.5369,-59.0815,-125.326
-225.854,-48.7142,-71.6408,-149.342
-147.246,-38.9411,-47.0153,-96.3363
-52.2085,-38.6363,-19.6954,-28.6495
-305.038,-54.4868,-103.406,-196.182
-115.402,-37.3884,-36.2513,-75.4117
-231.565,-45.5723,-70.1789,-156.829
-158.81,-41.7296,-48.2955,-106.341
-179.879,-21.6208,-61.5779,-116.139
-203.408,-43.9208,-63.954,-135.062
-219.95,-38.1752,-69.2303,-146.902
-164.257,-48.213,-48.1589,-111.277
-231.754,-38.148,-69.5185,-158.421
-207.224,-49.118,-62.4673,-139.844
-271.814,-53.3458,-88.8147,-177.665
-222.616,-34.1031,-69.7467,-149.459
-173.87,-61.2189,-54.3925,-113.355
-161.386,-44.4514,-52.2067,-104.734
-192.613,-54.3885,-57.5596,-129.615
-193.734,-42.1341,-66.7579,-122.763
-278.604,-44.4687,-89.7596,-184.397
-155.67,-48.1163,-47.4875,-103.371
-187.059,-52.5627,-56.7728,-125.03
-270.938,-48.5296,-84.9701,-181.115
-180.94,-25.3253,-56.9602,-121.447
-209.855,-53.906,-64.9568,-139.508
-197.562,-48.8981,-56.5696,-136.103
-229.971,-41.4503,-67.8174,-158.008
-205.462,-29.3744,-59.4064,-143.118
-114.028,-28.1709,-30.3199,-80.8911
-190.449,-37.0543,-57.8084,-128.935
-200.227,-51.2714,-64.0091,-131.09
-193.989,-40.3907,-61.5989,-128.351
-253.475,-47.903,-78.3784,-170.307
-241.483,-49.6845,-72.499,-164.015
-216.836,-50.3731,-71.4806,-140.318
-231.731,-57.8759,-72.2088,-153.735
-284.866,-29.2413,-89.7773,-192.164
-199.29,-51.6028,-58.4316,-135.698
-152.209,-55.2547,-42.5553,-104.129
-222.601,-39.7939,-67.3938,-151.228
-301.255,-17.6645,-92.5496,-206.939
-239.463,-42.2644,-74.382,-160.855
-233.359,-51.7451,-72.7553,-155.429
-184.959,-43.428,-50.3794,-130.237
-290.521,-34.5946,-87.9204,-199.141
-225.906,-43.9255,-64.2517,-157.262
-220.797,-49.869,-66.8526,-148.957
-109.39,-21.0029,-36.4421,-70.8472
-248.454,-71.2599,-71.9713,-169.356
-251.834,-42.7187,-71.0452,-176.517
-151.818,-39.7476,-44.7812,-103.062
-60.6203,-81.6382,-20.6657,-31.7907
-187.543,-44.9491,-53.8208,-129.228
-53.9067,-43.3013,-21.9024,-27.6742
-251.84,-60.8712,-75.2184,-170.534
-246.175,-65.54,-81.1828,-158.439
-271.286,-53.3003,-75.8718,-190.084
-168.714,-49.0195,-48.2689,-115.543
-230.856,-36.681,-65.7535,-161.435
-234.964,-46.7323,-68.5294,-161.762
-157.865,-40.7588,-44.3323,-109.457
-204.708,-51.3716,-55.3281,-144.242
-103.185,-33.1923,-26.112,-73.7542
-73.4195,-24.09,-19.3225,-51.688
-145.316,-26.7064,-43.9702,-98.6751
-164.726,-60.1008,-42.5373,-116.179
-213.941,-52.2717,-65.6598,-143.054
-165.345,-58.7573,-45.6823,-113.787
-222.349,-44.4776,-58.7405,-159.161
-290.825,-57.1222,-87.3662,-197.747
-352.3,-58.1108,-107.474,-239.016
-117.513,-43.2148,-31.7345,-81.4573
-51.1573,-16.9085,-15.9673,-33.4991
-49.5364,-21.4064,-19.581,-27.8147
-182.292,-36.67,-49.2912,-129.334
-186.797,-47.6121,-49.0501,-132.986
-63.9998,-27.1277,-18.038,-43.2491
-136.085,-52.4256,-35.1155,-95.7269
-166.328,-37.5608,-43.1806,-119.392
-150.517,-44.9549,-43.7756,-102.246
-146.202,-42.4957,-41.7346,-100.218
-46.7308,-44.5887,-18.7458,-23.5262
-207.31,-49.7975,-63.0935,-139.237
-188.829,-31.1608,-50.0778,-135.635
-161.706,-48.6784,-44.2523,-112.586
-154.062,-43.525,-39.1067,-110.603
-192.214,-66.4216,-46.751,-138.821
-165.052,-36.2252,-44.271,-117.158
-187.348,-51.3045,-47.8902,-134.327
-178.857,-30.1313,-52.7734,-123.071
-78.3085,-37.9721,-20.8162,-53.695
-239.273,-50.3208,-63.4613,-170.779
-240.01,-48.6826,-68.8536,-166.288
-40.5776,-30.8136,-11.5457,-25.9506
-178.473,-35.8412,-55.2451,-119.643
