elbo,-kl,log_px,log_py
-0.785461,-0.984523,-0.258626,-0.428383
-0.653786,-0.83944,-0.236322,-0.33352
-1.6785,-1.64698,-0.67876,-0.835043
-2.17064,-1.93077,-0.820203,-1.15736
-0.965134,-1.16317,-0.347578,-0.50124
-2.07741,-1.84472,-0.786462,-1.10647
-1.33044,-1.16095,-0.461504,-0.752844
-1.50581,-1.63733,-0.624215,-0.71786
-1.92081,-2.0668,-0.765536,-0.948599
-2.04786,-1.84837,-0.804008,-1.05901
-1.36894,-1.39514,-0.541957,-0.687466
-2.07278,-1.98066,-0.74417,-1.13054
-2.0187,-1.79295,-0.742092,-1.09732
-1.78949,-1.70685,-0.710471,-0.908334
-1.62519,-1.69424,-0.67426,-0.781508
-1.90041,-1.95022,-0.786426,-0.918964
-2.08487,-2.17554,-0.882574,-0.984741
-1.92832,-1.95596,-0.794835,-0.937893
-2.18671,-2.11332,-0.859205,-1.11617
-1.74639,-1.68382,-0.682585,-0.895423
-0.649043,-0.962149,-0.186145,-0.366683
-1.58766,-1.5702,-0.576665,-0.853971
-1.65244,-1.56368,-0.613009,-0.883062
-2.51255,-2.17454,-1.01318,-1.28191
-1.94574,-1.81382,-0.766406,-0.997954
-1.55551,-1.44224,-0.578322,-0.83296
-1.58419,-1.65,-0.554995,-0.864196
-1.82307,-1.78734,-0.737902,-0.906433
-1.23362,-1.45024,-0.469041,-0.619555
-0.652721,-0.827171,-0.230975,-0.339029
-1.98386,-1.58952,-0.5886,-1.23631
-1.64033,-1.49817,-0.623227,-0.867283
-1.32725,-1.29096,-0.507685,-0.690473
-1.90865,-1.91554,-0.676971,-1.04013
-1.56239,-1.43126,-0.547954,-0.871308
-2.01361,-1.93644,-0.823911,-0.996057
-1.75797,-1.88754,-0.681243,-0.887969
-2.15738,-2.22643,-0.802702,-1.13204
-1.63972,-1.80626,-0.625264,-0.833828
-0.715991,-1.15935,-0.191475,-0.408581
-1.71978,-1.68794,-0.607391,-0.943597
-1.50267,-1.45617,-0.575526,-0.781532
-1.8322,-1.86952,-0.668387,-0.976863
-1.12479,-1.50292,-0.447183,-0.527318
-1.69997,-1.63426,-0.668807,-0.867734
-2.33608,-2.40251,-0.853052,-1.24278
-1.25962,-1.21411,-0.38232,-0.755888
-1.58738,-1.70949,-0.597479,-0.818948
-1.61418,-1.45878,-0.604771,-0.863535
-0.783893,-0.999384,-0.261267,-0.422687
-1.6714,-1.6507,-0.576664,-0.929669
-2.01306,-1.97396,-0.829207,-0.986456
-1.5923,-1.58013,-0.608714,-0.825575
-2.13377,-2.25116,-0.845553,-1.0631
-1.4561,-1.63356,-0.626616,-0.666126
-1.90301,-1.54678,-0.698523,-1.04981
-1.63473,-1.57133,-0.641116,-0.836487
-1.87413,-1.71723,-0.672641,-1.02976
-1.77596,-1.62623,-0.672941,-0.940394
-1.68065,-1.60861,-0.648369,-0.871423
-1.61145,-1.56056,-0.619572,-0.83582
-0.582492,-0.857249,-0.197684,-0.299083
-1.82056,-1.55193,-0.642248,-1.02312
-0.932042,-0.943907,-0.328918,-0.508734
-1.73423,-1.59105,-0.629788,-0.94534
-0.657233,-0.764209,-0.227862,-0.352951
-2.0637,-2.89069,-0.718187,-1.05645
-1.7779,-1.46996,-0.654849,-0.976051
-1.21741,-1.14464,-0.453631,-0.649315
-1.4825,-1.40609,-0.535433,-0.806456
-1.6439,-2.85962,-0.529244,-0.828698
-1.61122,-1.42272,-0.618637,-0.85031
-1.4687,-1.32568,-0.618799,-0.717329
-1.5623,-1.5751,-0.647764,-0.757024
-1.30407,-1.1121,-0.439212,-0.753648
-1.59463,-1.70104,-0.625099,-0.799432
-0.90527,-1.01588,-0.312511,-0.49117
-1.21328,-1.29207,-0.431956,-0.652116
-1.68856,-1.57113,-0.595157,-0.93629
-1.92349,-1.80784,-0.747353,-0.995349
-2.0167,-2.01331,-0.748569,-1.0668
-1.50342,-1.52277,-0.617424,-0.733716
-1.45717,-1.49148,-0.516314,-0.791712
-1.82469,-1.62238,-0.642242,-1.02021
-1.7641,-1.7819,-0.665517,-0.920396
-1.36904,-1.54478,-0.573086,-0.64148
-2.22412,-1.80134,-0.859479,-1.1845
-1.26286,-1.28273,-0.48984,-0.64475
-1.35098,-1.62423,-0.51739,-0.671171
-1.68431,-1.96737,-0.670718,-0.816851
-1.98572,-1.95941,-0.855699,-0.934077
-1.12412,-1.10134,-0.404738,-0.609252
-1.47811,-1.39514,-0.603506,-0.735085
-1.4882,-1.42622,-0.60092,-0.744657
-1.61903,-2.15617,-0.458716,-0.944702
-1.56666,-1.47118,-0.583388,-0.836151
-0.86558,-1.0161,-0.244421,-0.519549
-0.907925,-0.965099,-0.316441,-0.494974
-2.18194,-1.85372,-0.865443,-1.13113
-1.80464,-1.63576,-0.69444,-0.946627
-1.77391,-1.56742,-0.732928,-0.884237
-1.08405,-1.11369,-0.386936,-0.585743
-2.0747,-1.81635,-0.742418,-1.15065
-1.59374,-1.58871,-0.576819,-0.858051
-1.03883,-1.09469,-0.391683,-0.537675
-1.08291,-1.08274,-0.435762,-0.538874
-1.75533,-1.53258,-0.672658,-0.929419
